Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)",fin21.t.d.2017.1,Afghanistan,AFG,2017,1.37,female
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)",fin21.t.d.2017.1,Albania,ALB,2017,4.08,female
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)",fin21.t.d.2017.1,Algeria,DZA,2017,2.42,female
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)",fin21.t.d.2017.1,Argentina,ARG,2017,2.86,female
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)",fin21.t.d.2017.1,Armenia,ARM,2017,12.43,female
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)",fin21.t.d.2017.1,Australia,AUS,2017,1.44,female
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)",fin21.t.d.2017.1,Austria,AUT,2017,5.82,female
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)",fin21.t.d.2017.1,Azerbaijan,AZE,2017,3.01,female
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)",fin21.t.d.2017.1,Bahrain,BHR,2017,2.9,female
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)",fin21.t.d.2017.1,Bangladesh,BGD,2017,4.53,female
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)",fin21.t.d.2017.1,Belarus,BLR,2017,1.75,female
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)",fin21.t.d.2017.1,Belgium,BEL,2017,1.01,female
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)",fin21.t.d.2017.1,Benin,BEN,2017,13.29,female
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)",fin21.t.d.2017.1,Bolivia,BOL,2017,12.14,female
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)",fin21.t.d.2017.1,Bosnia and Herzegovina,BIH,2017,3.15,female
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)",fin21.t.d.2017.1,Botswana,BWA,2017,2.86,female
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)",fin21.t.d.2017.1,Brazil,BRA,2017,2.56,female
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)",fin21.t.d.2017.1,Bulgaria,BGR,2017,1.84,female
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)",fin21.t.d.2017.1,Burkina Faso,BFA,2017,12.61,female
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)",fin21.t.d.2017.1,Cambodia,KHM,2017,15.33,female
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)",fin21.t.d.2017.1,Cameroon,CMR,2017,11.24,female
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)",fin21.t.d.2017.1,Canada,CAN,2017,1.71,female
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)",fin21.t.d.2017.1,Central African Republic,CAF,2017,9.75,female
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)",fin21.t.d.2017.1,Chad,TCD,2017,10.12,female
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)",fin21.t.d.2017.1,Chile,CHL,2017,2.26,female
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)",fin21.t.d.2017.1,China,CHN,2017,3.9,female
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)",fin21.t.d.2017.1,Colombia,COL,2017,9.88,female
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)",fin21.t.d.2017.1,"Congo, Dem. Rep.",COD,2017,4.42,female
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)",fin21.t.d.2017.1,"Congo, Rep.",COG,2017,6.95,female
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)",fin21.t.d.2017.1,Costa Rica,CRI,2017,5.15,female
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)",fin21.t.d.2017.1,Cote d'Ivoire,CIV,2017,5.07,female
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)",fin21.t.d.2017.1,Croatia,HRV,2017,3.1,female
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)",fin21.t.d.2017.1,Cyprus,CYP,2017,1.46,female
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)",fin21.t.d.2017.1,Czechia,CZE,2017,0.89,female
